issue_id,os_version,crash_time,device_id,crash_reason,crash_exception
00cff599f89c6e45a202b935f7c41b9f,5,1601208381,40569231934,Failed to allocate a 552 byte allocation with 16777120 free bytes and 128MB until OOM; failed due to fragmentation (required continguous free 65536 bytes for a new buffer where largest contiguous free 49152 bytes),java.lang.OutOfMemoryError
00dc9cfdb61d7dd8705fe609f7576027,5,1600603377,68637154566,Failed to allocate a 3686419 byte allocation,java.lang.OutOfMemoryError
00dc9cfdb61d7dd8705fe609f7576027,5,1605362849,46457818444,Failed to allocate a 3686419 byte allocation,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613300662,54569857366,setSpan (-1 ... 4) starts before 0,java.lang.IndexOutOfBoundsException
00dcc77c118b0490c7a6eee526e001b4,5,1614379793,68806676162,regist too many Broadcast Receivers,java.lang.IllegalArgumentException
00dcc77c118b0490c7a6eee526e001b4,5,1614740111,34756571148,Failed to allocate a 7978038 byte allocation with 6026944 free bytes and 5MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1614317870,70191960545,Failed to allocate a 7476908 byte allocation with 1042951 free bytes and 1018KB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1614692828,36791846223,Failed to allocate a 7335406 byte allocation with 244798 free bytes and 238KB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613227140,49145785158,Failed to allocate a 7323604 byte allocation with 6370496 free bytes and 6MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613288934,36570699274,Failed to allocate a 7273594 byte allocation with 6671111 free bytes and 6MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1614354151,36223963073,Failed to allocate a 7251462 byte allocation with 4773735 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613706844,48517979178,Failed to allocate a 7111260 byte allocation with 6728825 free bytes and 6MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613645737,47775480489,Failed to allocate a 7110242 byte allocation with 5909561 free bytes and 5MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1614254118,46892716515,Failed to allocate a 6990492 byte allocation with 4832383 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1612513846,16060756352,Failed to allocate a 6940940 byte allocation with 2230146 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1609846850,36863819423,Failed to allocate a 6910656 byte allocation with 3564002 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1610334025,53942780916,Failed to allocate a 6817848 byte allocation with 4665756 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1610273185,37361729232,Failed to allocate a 6703226 byte allocation with 4150499 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1607300779,39759265527,Failed to allocate a 6576336 byte allocation with 1615802 free bytes and 1577KB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1608778999,39659746153,Failed to allocate a 6407196 byte allocation with 5176290 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1612540622,31475946926,Failed to allocate a 640560 byte allocation with 611424 free bytes and 597KB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1608543974,49840456082,Failed to allocate a 6186686 byte allocation with 2755971 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1607601497,6974812166,Failed to allocate a 6179480 byte allocation with 5994794 free bytes and 5MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1607996790,36725078316,Failed to allocate a 6117696 byte allocation with 3550304 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1609496151,35024269903,Failed to allocate a 6084398 byte allocation with 4667128 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1609499344,35024269903,Failed to allocate a 6084398 byte allocation with 4601773 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1609127157,35788326409,Failed to allocate a 6061744 byte allocation with 5924280 free bytes and 5MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1608892179,67578765885,Failed to allocate a 6023070 byte allocation with 4194208 free bytes and 5MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1601812465,49571697469,Failed to allocate a 5983462 byte allocation with 4586822 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1605649543,52895185626,Failed to allocate a 5950192 byte allocation with 5198680 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1602675252,47851401654,Failed to allocate a 5933568 byte allocation with 3478455 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1601765217,38776082772,Failed to allocate a 5788250 byte allocation with 4194304 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1604626293,36770560946,Failed to allocate a 5747546 byte allocation with 4355665 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1607226857,37635698141,Failed to allocate a 5736598 byte allocation with 3053749 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1606178249,36896499385,Failed to allocate a 5720500 byte allocation with 3212116 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1604232274,67540371235,Failed to allocate a 5670596 byte allocation with 4845940 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1606797125,39734794373,Failed to allocate a 5654144 byte allocation with 5187930 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1603764048,46817443998,Failed to allocate a 5599350 byte allocation with 4349956 free bytes and 4MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1605973392,35979889267,Failed to allocate a 5507148 byte allocation with 2648563 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1604214154,36157090505,Failed to allocate a 5498708 byte allocation with 4101906 free bytes and 3MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1613892092,55664053532,Failed to allocate a 3726909 byte allocation with 2943856 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
00dcc77c118b0490c7a6eee526e001b4,5,1610917137,51365013433,Failed to allocate a 3327419 byte allocation with 1915364 free bytes and 1870KB until OOM,java.lang.OutOfMemoryError
